StudentKey, TermType, AcademicYear, AcademicLevelDescription, NewStatusOfficialDescr, MatricTermType, Female_ind, IPEDSEthnicityDescription, SourceAge, Highschoolgpa, MatricTransferGPA, RptgPlanOrgDescr, RptgPlanOrgDescr2, TermCreditsAttempted, CumulativeCreditsEarned, Cum_GPA_BOT, TermGPA_EOT, Calculated_Term_GPA, CumGPA_EOT, Mean_AVG_Cls_grade_per_term, Mean_AVG_Crs_grade_per_term, , 
359, Fall, 2015, Senior, Continuing UG, Fall, 0, White, 38, , , Biol Sci, , 7, 107, 2.679, 0, , 2.679, , , , 
472, Fall, 2011, Senior, Continuing UG, Fall, 0, White, 27, 3.7, , Info Sys, , 6, 92, 2.336, 2, 1, 2.327, 2.677, 2.679, , 
472, Spring, 2011, Senior, Continuing UG, Fall, 0, White, 27, 3.7, , Info Sys, , 6, 95, 2.327, 2, 1, 2.319, 2.73, 2.733, , 
472, Fall, 2012, Senior, Continuing UG, Fall, 0, White, 28, 3.7, , Info Sys, , 3, 101, 2.362, 0, 0, 2.362, 2.715, 2.717, , 
650, Spring, 2010, Senior, New UG Other, Fall, 0, White, 27, 2.86, , Info Sys, , 15, 133, 2.382, 3, 2.4, 2.434, 2.75, 2.752, , 
650, Fall, 2011, Senior, Continuing UG, Fall, 0, White, 28, 2.86, , Info Sys, , 18, 146, 2.487, 2.833, 2.833, 2.524, 2.677, 2.679, , 
650, Spring, 2011, Senior, Continuing UG, Fall, 0, White, 28, 2.86, , Info Sys, , 12, 168, 2.511, 3, 3, 2.543, 2.73, 2.733, , 
650, Fall, 2012, Senior, Continuing UG, Fall, 0, White, 29, 2.86, , Info Sys, , 12, 192, 2.495, 3, 3, 2.524, 2.715, 2.717, , 
102699, Fall, 2015, Senior, Continuing UG, Fall, 0, Asian, 33, 3.08, , Biol Sci, , 7, 113, 3.289, 0, , 3.289, , , , 
682, Fall, 2012, Senior, Continuing UG, Fall, 1, Asian, 27, 3.72, , Biol Sci, , 4, 61, 2.441, 3, 3, 2.476, 2.715, 2.717, , 
682, Spring, 2012, Senior, Continuing UG, Fall, 1, Asian, 28, 3.72, , Biol Sci, , 6, 61, 2.476, 2.333, 2.333, 2.464, 2.779, 2.783, , 
682, Fall, 2013, Senior, Continuing UG, Fall, 1, Asian, 28, 3.72, , Biol Sci, , 6, 71, 2.507, 3.333, 3.333, 2.568, 2.75, 2.752, , 
682, Spring, 2013, Senior, Continuing UG, Fall, 1, Asian, 29, 3.72, , Biol Sci, , 3, 80, 2.512, 0, 0, 2.512, 2.806, 2.811, , 
797, Fall, 2010, Senior, Continuing UG, Fall, 1, White, 30, 3.17, , Geog & Env Sys, , 10, 120, 2.252, 2.8, 2.8, 2.293, 2.708, 2.71, , 
797, Spring, 2010, Senior, Continuing UG, Fall, 1, White, 30, 3.17, , Geog & Env Sys, , 9, 130, 2.293, 2.333, 2.333, 2.296, 2.75, 2.752, , 
864, Spring, 2011, Senior, Continuing UG, Fall, 0, White, 26, 3.33, , Math & Stat, , 13.5, 93, 2.131, 2.333, 1.75, 2.148, 2.73, 2.733, , 
864, Fall, 2012, Senior, Continuing UG, Fall, 0, White, 26, 3.33, , Math & Stat, , 12, 113.5, 2.22, 0, 0, 2.015, 2.715, 2.717, , 
949, Fall, 2010, Senior, Continuing UG, Fall, 1, Asian, 25, 4.1, , Biol Sci, , 10, 94, 2.703, 3.4, 3.4, 2.772, 2.708, 2.71, , 
1054, Fall, 2010, Freshman, Continuing UG, Fall, 1, White, 46, , 4, Info Sys, , 3, 12, 4, 4, 4, 4, 2.708, 2.71, , 
1149, Fall, 2013, Senior, Continuing UG, Fall, 0, Black/African American, 33, , 2.5, Info Sys, , 6, 58, 2.132, 2.5, 2.5, 2.162, 2.75, 2.752, , 
1774, Fall, 2011, Senior, Continuing UG, Fall, 0, Asian, 27, 3.08, , Info Sys, , 10, 92, 2.052, 1.4, 1.4, 1.991, 2.677, 2.679, , 
1774, Spring, 2011, Senior, Continuing UG, Fall, 0, Asian, 27, 3.08, , Info Sys, , 9, 99, 1.991, 2.667, 2.667, 2.043, 2.73, 2.733, , 
1774, Fall, 2012, Senior, Continuing UG, Fall, 0, Asian, 28, 3.08, , Info Sys, , 15, 109.5, 2.043, 2.8, 2.8, 2.131, 2.715, 2.717, , 
1942, Fall, 2010, Senior, Continuing UG, Fall, 0, Hispanic/Latino, 29, 3.59, , Info Sys, , 7, 102, 2.431, 0, 0, 2.354, 2.708, 2.71, , 
1942, Spring, 2011, Senior, Continuing UG, Fall, 0, Hispanic/Latino, 30, 3.59, , Info Sys, , 4, 102, 2.354, 0, 0, 2.354, 2.73, 2.733, , 
2023, Fall, 2010, Senior, New UG Other, Fall, 0, Black/African American, 25, 3.16, , Mech Eng, , 15, 106, 2.394, 2.5, 2, 2.405, 2.708, 2.71, , 
2236, Fall, 2010, Freshman, New UG Other, Fall, 0, White, 25, 2.4, , Comp Sci & EE, Info Sys, 4, 9, 0.95, 3, 3, 1.292, 2.708, 2.71, , 
2258, Fall, 2010, Senior, Continuing UG, Spring, 0, International, 24, , , Chem Eng, , 13.5, 135, 2.669, 3, 3, 2.696, 2.708, 2.71, , 
2258, Spring, 2010, Senior, Continuing UG, Spring, 0, International, 25, , , Chem Eng, , 11, 148.5, 2.696, 3.455, 3.455, 2.748, 2.75, 2.752, , 
2324, Fall, 2010, Senior, Continuing UG, Fall, 1, Not Specified, 21, 4.17, , Biol Sci, , 15, 93, 3.612, 3.467, 3.467, 3.59, 2.708, 2.71, , 
2324, Spring, 2010, Senior, Continuing UG, Fall, 1, White, 21, 4.17, , Biol Sci, , 16, 108, 3.59, 3.364, 3.364, 3.568, 2.75, 2.752, , 
2388, Fall, 2010, Senior, Continuing UG, Fall, 0, White, 21, 3.64, , Info Sys, , 9, 114, 2.974, 2.667, 2.667, 2.951, 2.708, 2.71, , 
2474, Fall, 2011, Senior, Continuing UG, Spring, 1, Black/African American, 25, 3.02, 2.44, Biol Sci, , 7, 77, 2.725, 0, 0, 2.725, 2.677, 2.679, , 
2492, Spring, 2013, Senior, Continuing UG, Spring, 0, Black/African American, 28, , , Math & Stat, , 16, 94, 2.284, 2.333, 1.5, 2.289, 2.806, 2.811, , 
2492, Fall, 2014, Senior, Continuing UG, Spring, 0, Black/African American, 28, , , Math & Stat, , 14.5, 105, 2.362, 2.692, 2.692, 2.398, 2.79, 2.792, , 
2756, Fall, 2010, Senior, Continuing UG, Fall, 0, White, 24, 3.42, , Chem Eng, , 13, 147, 3.068, 2.3, 2.3, 3.014, 2.708, 2.71, , 
2756, Spring, 2010, Senior, Continuing UG, Fall, 0, White, 24, 3.42, , Chem Eng, , 16, 156, 3.014, 3, 3, 3.013, 2.75, 2.752, , 
2756, Fall, 2011, Senior, Continuing UG, Fall, 0, White, 25, 3.42, , Chem Eng, , 7, 172, 3.013, 3.429, 3.429, 3.03, 2.677, 2.679, , 
2756, Spring, 2011, Senior, Continuing UG, Fall, 0, White, 25, 3.42, , Chem Eng, , 3, 172, 3.03, 3, 3, 3.03, 2.73, 2.733, , 
270456, Fall, 2010, Junior, New Transfer, Fall, 1, Black/African American, 40, , 2.48, Info Sys, , 13, 61.05, 0, 2.462, 2.462, 2.462, 2.708, 2.71, , 
3086, Fall, 2013, Senior, Continuing UG, Fall, 0, Black/African American, 28, 2.39, , Info Sys, , 13, 106, 1.886, 3.3, 3.3, 1.986, 2.75, 2.752, , 
3086, Spring, 2013, Senior, Continuing UG, Fall, 0, Black/African American, 29, 2.39, , Info Sys, , 12, 119, 1.986, 3.333, 2.5, 2.066, 2.806, 2.811, , 
3086, Fall, 2014, Senior, Continuing UG, Fall, 0, Black/African American, 29, 2.39, , Info Sys, , 13, 128, 2.066, 3.333, 2.308, 2.138, 2.79, 2.792, , 
3086, Spring, 2014, Senior, Continuing UG, Fall, 0, Black/African American, 30, 2.39, , Info Sys, , 16, 137, 2.138, 0.9, 0.563, 2.065, 2.815, 2.819, , 
3086, Fall, 2015, Senior, Continuing UG, Fall, 0, Black/African American, 30, 2.39, , Info Sys, , 6, 143, 2.065, 0, , 2.065, , , , 
3150, Spring, 2010, Senior, New UG Other, Fall, 1, Black/African American, 28, 2.8, 2.75, Biol Sci, , 13, 122, 2.047, 0.231, 0.231, 1.849, 2.75, 2.752, , 
3324, Fall, 2010, Senior, Continuing UG, Fall, 1, Asian, 34, , 2.85, Comp Sci & EE, , 2, 157, 3.287, 3, 3, 3.281, 2.708, 2.71, , 
3324, Spring, 2010, Senior, Continuing UG, Fall, 1, Asian, 34, , 2.85, Comp Sci & EE, , 5, 159, 3.281, 3.4, 3.4, 3.287, 2.75, 2.752, , 
3324, Fall, 2011, Senior, Continuing UG, Fall, 1, Asian, 35, , 2.85, Comp Sci & EE, , 6, 104, 3.287, 2, 1.5, 3.25, 2.677, 2.679, , 
3324, Spring, 2011, Senior, Continuing UG, Fall, 1, Asian, 35, , 2.85, Comp Sci & EE, , 3, 110, 3.25, 4, 4, 3.271, 2.73, 2.733, , 
3324, Fall, 2012, Senior, Continuing UG, Fall, 1, Asian, 36, , 2.85, Comp Sci & EE, , 3, 111.5, 3.271, 4, 4, 3.291, 2.715, 2.717, , 
3324, Spring, 2012, Senior, Continuing UG, Fall, 1, Asian, 36, , 2.85, Comp Sci & EE, , 3, 111.5, 3.291, 4, 4, 3.31, 2.779, 2.783, , 
3324, Fall, 2013, Senior, Continuing UG, Fall, 1, Asian, 37, , 2.85, Comp Sci & EE, , 2, 114.5, 3.31, 4, 4, 3.322, 2.75, 2.752, , 
3481, Fall, 2010, Senior, Continuing UG, Fall, 0, Asian, 26, 2.96, 2.5, Info Sys, , 12, 156.5, 2.644, 2.5, 2.5, 2.626, 2.708, 2.71, , 
3481, Spring, 2010, Senior, Continuing UG, Fall, 0, Asian, 27, 2.96, 2.5, Info Sys, , 15, 168.5, 2.626, 2.333, 1.75, 2.602, 2.75, 2.752, , 
3481, Fall, 2011, Senior, Continuing UG, Fall, 0, Asian, 27, 2.96, 2.5, Info Sys, , 3, 111.5, 2.602, 4, 4, 2.64, 2.677, 2.679, , 
3573, Fall, 2010, Freshman, Continuing UG, Spring, 1, Black/African American, 32, , , Info Sys, , 3, 12, 0.6, 0, 0, 0.6, 2.708, 2.71, , 
3600, Fall, 2010, Senior, Continuing UG, Fall, 0, White, 25, 3, , Chem Eng, , 13, 103, 2.506, 2, 1.769, 2.452, 2.708, 2.71, , 
3600, Spring, 2010, Senior, Continuing UG, Fall, 0, White, 25, 3, , Chem Eng, , 13, 116, 2.452, 2.231, 2.231, 2.425, 2.75, 2.752, , 
3600, Fall, 2011, Senior, Continuing UG, Fall, 0, White, 26, 3, , Chem Eng, , 9, 112, 2.425, 2.333, 2.333, 2.417, 2.677, 2.679, , 
3600, Spring, 2011, Senior, Continuing UG, Fall, 0, White, 26, 3, , Chem Eng, , 9, 118, 2.417, 2, 2, 2.387, 2.73, 2.733, , 
3600, Fall, 2012, Senior, Continuing UG, Fall, 0, White, 27, 3, , Chem & Bioc Eng, , 9, 127, 2.387, 2.667, 2.667, 2.406, 2.715, 2.717, , 
3600, Spring, 2012, Senior, Continuing UG, Fall, 0, White, 27, 3, , Chem & Bioc Eng, , 7, 136, 2.406, 2.429, 2.429, 2.407, 2.779, 2.783, , 
3647, Fall, 2010, Senior, Continuing UG, Fall, 0, White, 24, 2.97, , Physics, Math & Stat, 9, 121, 2.806, 3, 3, 2.819, 2.708, 2.71, , 
3656, Fall, 2010, Sophomore, Continuing UG, Fall, 0, White, 19, 4.15, , Chemistry, , 16, 32, 3.704, 3.333, 2.75, 3.611, 2.708, 2.71, , 
